bus,fueltype,c2,c1,c0,pmax,ess,canidate,gen_id
471,Batteries,0.067573963,16.3717118,401.19412,2.0,1,1,78
474,Natural Gas Internal Combustion Engine,0.052644909,7.3428025,22.7651352,2.0,0,0,79
485,Batteries,0.067573963,16.3717118,401.19412,30.0,1,1,80
485,Natural Gas Fired Combustion Turbine,0.05553775,14.512150300000002,283.415806,49.9,0,0,81
361,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,82
59,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,83
71,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,84
467,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,85
39,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,86
14,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,87
407,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,88
33,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,89
10,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,90
111,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,91
82,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,92
476,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,93
416,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,94
37,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,95
426,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,96
447,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,97
29,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,98
90,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,99
4,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,100
41,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,101
62,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,102
477,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,103
63,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,104
6,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,105
61,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,106
379,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,107
354,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,108
30,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,109
88,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,110
11,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,111
26,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,112
484,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,113
73,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,114
28,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,115
392,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,116
455,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,117
40,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,118
69,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,119
75,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,120
38,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,121
67,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,122
65,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,123
352,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,124
84,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,125
8,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,126
5,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,127
105,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,128
64,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,129
374,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,130
42,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,131
465,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,132
99,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,133
32,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,134
405,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,135
439,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,136
