f_bus,t_bus,rate_a,sus
107,341,35.0,87223.58119654082
107,342,96.0,90732.463396245
108,215,35.0,31235.889303453092
109,238,35.0,42488.290621729895
110,248,64.0,268923.3994690233
111,397,191.0,3258.667653804133
111,454,250.0,373496.5014688393
112,295,64.0,234965.60095937885
113,382,110.00000000000001,4962.058913631113
114,115,56.99999999999999,578.4684606925748
115,114,56.99999999999999,578.4684606925748
115,118,64.0,28175.620706878013
115,422,64.0,35625.38686425217
116,117,64.0,841.6433988804908
117,116,64.0,841.6433988804908
117,118,64.0,11032.296478887
118,115,64.0,28175.620706878013
118,117,64.0,11032.296478887
119,421,1158.0,17381.71818693225
120,1,250.0,7537.724574248552
120,179,204.99999999999997,29030.27618287798
121,122,834.0,5333274.463179066
121,425,766.0,647979.7911512424
121,470,1462.0,19559.63289928133
122,121,834.0,5333274.463179066
122,123,417.0,29549.413867298874
122,425,635.0,878278.206484704
123,122,417.0,29549.413867298874
124,467,118.0,35766.766365202224
124,473,118.0,1381.2432143754406
125,154,1464.0,39486.563038706976
125,487,871.0000000000001,7906612.64913397
126,128,834.0,1017673.9278392122
126,391,1056.0,35751.38906991615
126,470,1158.0,5797.9424011683905
127,163,732.0,615658.4177240916
127,463,366.0,7500.33858416469
128,126,834.0,1017673.9278392122
128,369,1462.0,29920.20639632374
128,470,1158.0,5833.001004347606
129,279,64.0,3060.5466812404493
129,298,227.99999999999997,3558.8188459221956
129,460,227.99999999999997,115163.55174099829
130,19,236.0,531466.8260265078
130,358,318.0,31524.85832331446
131,132,635.0,1452063.2785356112
131,138,417.0,53204.36585111657
131,139,383.0,1251869.7502914562
131,174,834.0,3755690.8256285815
132,131,635.0,1452063.2785356112
132,139,383.0,1269043.285832734
132,398,1056.0,138137.26488802006
133,277,732.0,33472.416967384
133,419,366.0,8734.620678142352
133,437,732.0,29848.53622197386
134,383,834.0,9042.353654030323
134,457,732.0,20916.180398663688
135,89,366.0,2030021.470483203
135,136,366.0,2170836.7634163834
135,156,732.0,94617.98389747844
136,89,366.0,1891063.6404951157
136,135,366.0,2170836.7634163834
136,137,417.0,50520.176017508296
137,10,383.0,1378119.443263519
137,136,417.0,50520.176017508296
137,138,366.0,487966.8347610723
138,10,366.0,1000914.4875423317
138,131,417.0,53204.36585111657
138,137,366.0,487966.8347610723
139,131,383.0,1251869.7502914562
139,132,383.0,1269043.285832734
139,440,834.0,319895.73591722484
140,141,834.0,4472713.046504118
140,142,366.0,4601038.974149261
140,143,834.0,972082.4716864383
141,140,834.0,4472713.046504118
141,160,635.0,812475.1709899147
141,400,732.0,104103.3785135028
142,140,366.0,4601038.974149261
142,159,635.0,437845.04180192883
142,400,834.0,163219.16113745965
143,140,834.0,972082.4716864383
143,144,635.0,13466.153267430333
144,143,635.0,13466.153267430333
144,417,871.0000000000001,62921.81701926199
144,448,366.0,1774126.7073165132
145,367,118.0,1048.9369032607583
146,18,500.0,553049.5277345676
146,147,118.0,91258.09569643224
146,402,500.0,355318.964206998
147,18,250.0,406526.3193533578
147,146,118.0,91258.09569643224
147,148,381.0,41009.19230465634
148,147,381.0,41009.19230465634
148,157,250.0,355718.74718129344
148,158,128.0,167398.9953615006
149,156,366.0,506414.40886881785
149,400,366.0,43098.56047531666
149,451,366.0,3482.0056342402795
150,151,1288.0,338402.34878529137
150,446,982.0,7764.621951401242
151,150,1288.0,338402.34878529137
151,457,1158.0,391502.03951092844
152,153,1668.0,669926.6301444224
152,446,982.0,7718.040266092424
153,152,1668.0,669926.6301444224
153,457,1056.0,487131.42460391705
154,125,1464.0,39486.563038706976
154,465,1200.0,1399169.8870723126
155,478,128.0,1293.6555668329156
155,484,175.0,147776.74076816934
156,135,732.0,94617.98389747844
156,149,366.0,506414.40886881785
156,159,635.0,760803.5030715729
157,148,250.0,355718.74718129344
157,443,317.0,5909.278987642646
158,148,128.0,167398.9953615006
158,395,317.0,6131.24694379199
159,142,635.0,437845.04180192883
159,156,635.0,760803.5030715729
159,160,834.0,10164370.478828957
160,141,635.0,812475.1709899147
160,159,834.0,10164370.478828957
160,457,1158.0,23303.51286763734
161,175,250.0,41759.679140793436
161,407,370.0,13331.595011948968
162,407,118.0,2107.5705333622304
162,447,250.0,77263.56953927476
162,482,118.0,3680.8362528292396
163,127,732.0,615658.4177240916
163,455,801.0,892243.1309826549
164,300,64.0,2955.4709749015624
165,306,220.00000000000003,7046.272892172696
165,472,227.99999999999997,3097.047226867132
166,167,308.0,107684.59749254832
166,168,308.0,109523.93243143766
166,428,462.0,44933.65808119527
167,166,308.0,107684.59749254832
167,456,113.99999999999999,605.9157289906756
167,472,164.0,20035.47847479241
168,166,308.0,109523.93243143766
168,300,176.0,2511.8868960279406
168,472,24.0,2615.5076576308784
169,65,635.0,418797.89898489194
169,170,635.0,387154.0151647989
169,427,731.0,260273.89507623803
170,65,417.0,618961.9922543543
170,169,635.0,387154.0151647989
170,172,732.0,51812.03902453688
171,91,635.0,1992821.6580210973
171,172,834.0,4461473.181287157
171,465,732.0,19013.60862077707
172,91,366.0,1403735.6885099679
172,170,732.0,51812.03902453688
172,171,834.0,4461473.181287157
173,174,834.0,14672.108749934763
173,485,635.0,94918.94719614007
174,131,834.0,3755690.8256285815
174,173,834.0,14672.108749934763
174,474,732.0,33825.721611000095
175,161,250.0,41759.679140793436
175,179,128.0,45595.51905533789
176,13,64.0,433.6847423801083
176,87,114.99999999999999,295.9769050899183
176,431,96.0,58869.140463844255
177,1,118.0,71740.62704586326
177,180,128.0,94124.51308944564
177,186,118.0,939304.0520298347
178,90,118.0,5218.51281366598
178,384,118.0,31228.57693805081
179,1,219.0,5654.086233279583
179,120,204.99999999999997,29030.27618287798
179,175,128.0,45595.51905533789
180,4,261.0,5033.57245556666
180,177,128.0,94124.51308944564
180,181,128.0,9774.870795277386
181,180,128.0,9774.870795277386
181,183,118.0,99550.56556981208
181,184,142.0,120950.0248895593
182,185,250.0,254609.58985920044
182,186,142.0,61668.6232452373
183,3,418.0,19087.25288296496
183,181,118.0,99550.56556981208
183,185,191.0,12227.012686294302
184,3,381.0,24886.7535439065
184,181,142.0,120950.0248895593
184,185,118.0,9659.458621433903
185,182,250.0,254609.58985920044
185,183,191.0,12227.012686294302
185,184,118.0,9659.458621433903
186,1,317.0,87473.12846687408
186,177,118.0,939304.0520298347
186,182,142.0,61668.6232452373
187,406,56.99999999999999,6221.022091962353
187,415,64.0,9243.668484106818
187,481,35.0,1035.1203342645404
188,38,30.0,678.3218222819063
188,41,41.0,970.0302098357694
188,189,41.0,2019.282637873945
189,45,64.0,204070.9529561722
189,81,64.0,910.0993777174966
189,188,41.0,2019.282637873945
190,81,64.0,1338.2594414608063
190,191,30.0,2732.323033924345
190,192,64.0,2914.1946029831083
191,56,64.0,10764.342335241909
191,190,30.0,2732.323033924345
191,458,64.0,864.0736082365378
192,190,64.0,2914.1946029831083
192,193,64.0,3517.4567378477227
192,194,64.0,4332.180416956907
193,62,41.0,786.5495157814727
193,192,64.0,3517.4567378477227
193,194,64.0,22241.138676215694
194,192,64.0,4332.180416956907
194,193,64.0,22241.138676215694
194,195,64.0,224794.03077930422
195,62,41.0,774.804599757195
195,194,64.0,224794.03077930422
195,458,64.0,2378.626150091889
196,62,64.0,1100.2028347744936
196,197,64.0,6415.5495037382425
197,196,64.0,6415.5495037382425
197,198,56.99999999999999,893.6039037638134
197,199,64.0,4739.7772555077245
198,8,64.0,26665.86987703771
198,51,41.0,785.8777509352699
198,197,56.99999999999999,893.6039037638134
199,51,64.0,230222.5409459816
199,197,64.0,4739.7772555077245
199,208,96.0,822.0972565450031
200,51,64.0,617.5406338485675
200,53,64.0,171738.66599548262
200,351,56.99999999999999,44400.8894150946
201,203,64.0,1707.2442655986383
201,351,64.0,1644.0097586302256
201,458,64.0,1899.6616706484062
202,203,80.0,1572.3933429413896
202,204,80.0,1740.981957403848
202,458,35.0,882.5074108164122
203,47,114.99999999999999,57806.10640097429
203,201,64.0,1707.2442655986383
203,202,80.0,1572.3933429413896
204,71,64.0,1794.956091237236
204,202,80.0,1740.981957403848
204,475,114.99999999999999,80665.70504558255
205,206,64.0,532.1627612290915
205,207,64.0,66777.03845713769
205,413,64.0,6581.292575408914
206,205,64.0,532.1627612290915
206,210,64.0,1827.1398203766569
206,225,64.0,22507.927145519658
207,46,35.0,99400.62247334738
207,205,64.0,66777.03845713769
207,211,64.0,25401.09859142655
208,199,96.0,822.0972565450031
208,211,64.0,583.0606490777935
208,349,141.0,6961.863518688504
209,97,35.0,6517.677427889982
209,210,64.0,627.696128243885
209,212,64.0,710.6003967217505
210,7,80.0,24384.665478495543
210,206,64.0,1827.1398203766569
210,209,64.0,627.696128243885
211,68,64.0,453.9048865653229
211,207,64.0,25401.09859142655
211,208,64.0,583.0606490777935
212,68,64.0,131231.62778897997
212,209,64.0,710.6003967217505
212,213,80.0,289.77902680488717
213,73,64.0,749.232784433879
213,87,114.99999999999999,1576.190509622354
213,212,80.0,289.77902680488717
214,9,41.0,156998.33929907266
214,17,96.0,485.6335703566876
214,215,80.0,3226.0981090014557
215,108,35.0,31235.889303453092
215,214,80.0,3226.0981090014557
215,216,80.0,687.0733898464285
216,25,64.0,539.6457385093112
216,215,80.0,687.0733898464285
216,219,141.0,1096.7707524340276
217,17,96.0,1294.26712861247
217,98,308.0,1609.5429356119669
217,218,114.99999999999999,975.8441792216695
218,36,24.0,23922.44545814192
218,217,114.99999999999999,975.8441792216695
218,224,114.99999999999999,716.8151380397828
219,99,64.0,143094.34141038312
219,216,141.0,1096.7707524340276
219,287,160.0,888.3125184230514
220,221,64.0,546.6981936211464
220,456,64.0,22417.23503368471
220,461,41.0,363.5672465083677
221,220,64.0,546.6981936211464
221,222,41.0,36102.83345001778
221,223,64.0,22794.965033757027
222,6,56.99999999999999,146784.0771993776
222,221,41.0,36102.83345001778
222,223,64.0,43121.38226272748
223,99,64.0,1910.9394215174052
223,221,64.0,22794.965033757027
223,222,64.0,43121.38226272748
224,25,128.0,1643.6233254419785
224,218,114.99999999999999,716.8151380397828
224,343,64.0,422.40974359117257
225,206,64.0,22507.927145519658
225,226,64.0,4146.352603587066
225,486,64.0,36608.25689242238
226,93,64.0,28969.838241536778
226,225,64.0,4146.352603587066
226,229,80.0,11662.133605436544
227,236,64.0,3532.234203391909
227,241,64.0,3098.3064975393672
227,364,64.0,2499.5085519475656
228,230,56.99999999999999,3465.6600899800633
228,241,80.0,4511.468166290017
228,469,160.0,10406.123071555417
229,226,80.0,11662.133605436544
229,230,41.0,127198.73142832988
229,243,64.0,45595.150778655276
230,228,56.99999999999999,3465.6600899800633
230,229,41.0,127198.73142832988
230,231,64.0,13489.05977816999
231,230,64.0,13489.05977816999
231,232,64.0,1717.901202080161
231,243,41.0,23482.41569261794
232,231,64.0,1717.901202080161
232,233,56.99999999999999,723.0056870480836
232,244,64.0,7550.412105173808
233,88,24.0,888.0974536805171
233,232,56.99999999999999,723.0056870480836
233,234,64.0,1780.7031496833079
234,64,64.0,18837.1468536074
234,233,64.0,1780.7031496833079
234,235,64.0,369387.67226197256
235,64,64.0,20803.223276332268
235,66,64.0,1506.8329081170295
235,234,64.0,369387.67226197256
236,100,64.0,22330.23555867926
236,227,64.0,3532.234203391909
236,237,64.0,1960.879377460262
237,67,64.0,1459.1463249328299
237,236,64.0,1960.879377460262
237,238,64.0,2484.608738206914
238,109,35.0,42488.290621729895
238,237,64.0,2484.608738206914
238,239,35.0,1448.4709576804555
239,11,56.99999999999999,121059.79697194365
239,66,41.0,1396.4140136288618
239,238,35.0,1448.4709576804555
240,11,64.0,835.8084162680549
240,31,64.0,52154.438241012685
240,245,64.0,52753.52185112747
241,227,64.0,3098.3064975393672
241,228,80.0,4511.468166290017
241,242,64.0,2047.7986103896628
242,241,64.0,2047.7986103896628
242,244,35.0,14949.066410239911
242,245,64.0,12643.841891152795
243,29,64.0,349807.74960317556
243,229,64.0,45595.150778655276
243,231,41.0,23482.41569261794
244,232,64.0,7550.412105173808
244,242,35.0,14949.066410239911
244,245,64.0,21582.58421367838
245,240,64.0,52753.52185112747
245,242,64.0,12643.841891152795
245,244,64.0,21582.58421367838
246,24,64.0,40073.35055842029
246,67,41.0,924.0955583568712
246,247,64.0,864.5253408580433
247,28,80.0,7274.297670612317
247,246,64.0,864.5253408580433
247,249,64.0,731.0587498147141
248,110,64.0,268923.3994690233
248,255,64.0,10080.751779850658
248,264,64.0,101450.08102268606
248,356,64.0,12251.673909672723
249,247,64.0,731.0587498147141
249,250,64.0,7730.266822439352
249,251,80.0,4624.9359426362535
250,24,64.0,2365.8269281287526
250,249,64.0,7730.266822439352
250,261,64.0,967.2900322479264
251,249,80.0,4624.9359426362535
251,449,80.0,89480.92034092224
251,483,64.0,1791.9305994083056
252,253,56.99999999999999,25990.239461212037
252,255,64.0,11920.724035613654
252,256,64.0,6064.741392991868
253,252,56.99999999999999,25990.239461212037
253,254,41.0,2310.959638922548
253,257,64.0,3272.4081185577043
254,35,64.0,195768.2543338448
254,253,41.0,2310.959638922548
254,255,35.0,1814.0672514325486
255,248,64.0,10080.751779850658
255,252,64.0,11920.724035613654
255,254,35.0,1814.0672514325486
256,252,64.0,6064.741392991868
256,261,64.0,7489.993653735002
256,265,64.0,7803.237555435756
257,94,41.0,100834.542741797
257,253,64.0,3272.4081185577043
257,260,64.0,24756.19738029218
258,94,41.0,142375.35006592365
258,259,56.99999999999999,6640.068118839594
258,261,64.0,12578.79220081121
259,84,24.0,14900.136538853456
259,258,56.99999999999999,6640.068118839594
259,260,35.0,7286.6903952606
260,27,64.0,63712.01501035122
260,257,64.0,24756.19738029218
260,259,35.0,7286.6903952606
261,250,64.0,967.2900322479264
261,256,64.0,7489.993653735002
261,258,64.0,12578.79220081121
262,50,141.0,2633.838799353002
262,103,114.99999999999999,4380.45603462121
262,436,64.0,23151.13518001909
263,32,96.0,101219.39504932081
263,50,80.0,3435.8019636759054
263,278,64.0,4441.878452174543
264,248,64.0,101450.08102268606
264,266,64.0,12270.846507412103
264,389,41.0,1735.9526914423543
265,256,64.0,7803.237555435756
265,389,41.0,26815.55355676186
265,483,41.0,94940.55748037246
266,264,64.0,12270.846507412103
266,268,128.0,4208.1502456004655
266,278,229.99999999999997,3408.7789808041966
267,69,64.0,1487.5858821211925
267,268,41.0,68925.52182632334
267,356,64.0,4930.428040124253
268,266,128.0,4208.1502456004655
268,267,41.0,68925.52182632334
268,363,64.0,3262.61879237035
269,271,80.0,5553.664336694688
269,272,64.0,5777.845353552758
269,314,96.0,2067.8789530189997
269,363,64.0,5055.945849694903
270,22,64.0,77920.97824026713
270,271,96.0,10170.455376244026
270,284,64.0,2109.666813890167
271,69,41.0,1267.7632746363763
271,269,80.0,5553.664336694688
271,270,96.0,10170.455376244026
272,48,41.0,96043.46402674008
272,269,64.0,5777.845353552758
272,273,64.0,6350.058251199707
273,272,64.0,6350.058251199707
273,274,24.0,1975.668869827719
273,275,64.0,17565.90863653761
274,273,24.0,1975.668869827719
275,34,141.0,36508.86126465009
275,273,64.0,17565.90863653761
275,360,96.0,9722.483976611424
276,44,56.99999999999999,15167.350404532124
276,69,71.0,2050.815875220095
277,133,732.0,33472.416967384
277,423,366.0,1861095.2876793647
277,435,635.0,442528.7234328832
278,263,64.0,4441.878452174543
278,266,229.99999999999997,3408.7789808041966
278,424,282.0,40908.88453743961
279,129,64.0,3060.5466812404493
279,286,48.0,1498.5355326563683
279,392,64.0,1163.4185414633403
280,50,64.0,2273.676370618261
280,76,64.0,65463.60739464454
280,392,64.0,827.5210150013936
281,477,64.0,7044.016122551917
282,283,80.0,2595.1586134995964
282,285,64.0,3970.442570923705
282,477,80.0,9212.242389736
283,63,64.0,9769.994653032232
283,282,80.0,2595.1586134995964
283,284,64.0,910.9316452500377
284,59,64.0,3065.135177865691
284,270,64.0,2109.666813890167
284,283,64.0,910.9316452500377
285,95,35.0,49894.15458856546
285,282,64.0,3970.442570923705
285,344,80.0,3878.6128246116314
285,374,64.0,3378.0781543603616
286,279,48.0,1498.5355326563683
286,392,64.0,2802.619225877269
286,464,64.0,304134.26823880477
287,219,160.0,888.3125184230514
287,289,160.0,2668.5542470447326
287,294,64.0,1009.5129418201732
288,290,64.0,92506.33687202404
288,382,64.0,3131.0337967060714
289,37,64.0,106023.80362991687
289,287,160.0,2668.5542470447326
289,293,64.0,3476.3992083183534
290,288,64.0,92506.33687202404
290,291,80.0,8836.463756194755
290,295,64.0,1874.5163410892658
291,290,80.0,8836.463756194755
291,292,64.0,1766.8681348603009
291,299,114.99999999999999,1490.1479547279084
292,291,64.0,1766.8681348603009
292,293,160.0,22541.41116722256
292,382,80.0,5943.796509699856
293,289,64.0,3476.3992083183534
293,292,160.0,22541.41116722256
293,294,64.0,1064.2025244153692
294,287,64.0,1009.5129418201732
294,293,64.0,1064.2025244153692
294,456,96.0,14712.380803437545
295,112,64.0,234965.60095937885
295,290,64.0,1874.5163410892658
295,296,64.0,2898.1780320878675
296,54,64.0,85940.68545970244
296,295,64.0,2898.1780320878675
296,297,41.0,713.550073352829
297,42,96.0,1384.5159750775742
297,296,41.0,713.550073352829
297,438,114.99999999999999,10853.320100097028
298,129,227.99999999999997,3558.8188459221956
298,377,80.0,119735.92609637206
298,438,64.0,8416.47571471707
299,40,141.0,220022.1719346711
299,291,114.99999999999999,1490.1479547279084
299,301,64.0,1510.2930808531771
300,40,154.0,2752.3309765705417
300,164,64.0,2955.4709749015624
300,168,176.0,2511.8868960279406
301,77,64.0,140254.28883802268
301,299,64.0,1510.2930808531771
301,302,41.0,1571.9101057131982
302,301,41.0,1571.9101057131982
302,305,96.0,1998.5609548380648
302,308,96.0,27337.263784770777
303,61,80.0,8907.015855662085
303,304,35.0,15729.296022821074
303,307,80.0,1570.7040226910863
304,303,35.0,15729.296022821074
304,305,80.0,9105.385980117717
304,472,96.0,1023.4242834392435
305,61,64.0,83117.63622854718
305,302,96.0,1998.5609548380648
305,304,80.0,9105.385980117717
306,83,64.0,815.0061895611888
306,165,220.00000000000003,7046.272892172696
306,307,110.00000000000001,33906.44693394474
307,82,64.0,356739.99108343414
307,303,80.0,1570.7040226910863
307,306,110.00000000000001,33906.44693394474
308,21,64.0,124090.49978060991
308,302,96.0,27337.263784770777
308,309,80.0,2637.9954345803435
309,80,64.0,48725.26284359566
309,86,64.0,1984.0898459234209
309,308,80.0,2637.9954345803435
310,311,114.99999999999999,8290.58760629117
310,317,64.0,543880.2130537377
310,321,64.0,19275.21554860512
311,310,114.99999999999999,8290.58760629117
311,312,64.0,3721.570272132357
311,438,56.99999999999999,3020.231897204563
312,311,64.0,3721.570272132357
312,314,114.99999999999999,4315.149281021042
312,438,160.0,30773.735224078384
313,78,64.0,176084.4666043931
313,101,154.0,2941.0577490533165
313,375,114.99999999999999,5551.158702745663
314,269,96.0,2067.8789530189997
314,312,114.99999999999999,4315.149281021042
314,315,41.0,16933.287035056634
315,314,41.0,16933.287035056634
316,318,96.0,71038.5743064114
316,453,64.0,9263.574143598096
316,488,64.0,3241.3263651391585
317,79,64.0,156609.70931939388
317,310,64.0,543880.2130537377
317,319,64.0,75155.15155536198
318,316,96.0,71038.5743064114
318,324,141.0,8736.839569310665
318,326,96.0,1407.6545864623345
319,79,64.0,56983.095878190965
319,317,64.0,75155.15155536198
319,320,96.0,105257.9033496432
320,319,96.0,105257.9033496432
320,321,56.99999999999999,25626.54624253137
320,324,80.0,2232.0605472375723
321,310,64.0,19275.21554860512
321,320,56.99999999999999,25626.54624253137
321,322,71.0,2981.5707092603843
322,86,64.0,44680.9562487055
322,321,71.0,2981.5707092603843
322,323,64.0,93621.34376676186
323,86,64.0,37155.720610652796
323,322,64.0,93621.34376676186
323,324,80.0,3768.8325476812047
324,318,141.0,8736.839569310665
324,320,80.0,2232.0605472375723
324,323,80.0,3768.8325476812047
325,101,308.0,258701.0263928196
325,346,64.0,2692.522413758309
325,488,308.0,62463.04852699951
326,21,64.0,841.1708053393526
326,55,141.0,4938.018159914015
326,318,96.0,1407.6545864623345
327,52,56.99999999999999,59002.628668813806
327,328,96.0,3776.914928558901
327,331,141.0,1598.1478607723197
328,83,308.0,13638.210208027638
328,327,96.0,3776.914928558901
328,329,96.0,3709.1651229750664
329,52,56.99999999999999,78609.50326769524
329,328,96.0,3709.1651229750664
329,466,114.99999999999999,4487.365475511629
330,106,64.0,177859.54715901194
330,331,308.0,55286.28724153083
330,332,308.0,88599.95363600944
331,57,114.99999999999999,209967.03985017835
331,327,141.0,1598.1478607723197
331,330,308.0,55286.28724153083
332,39,80.0,1627.9700351159465
332,330,308.0,88599.95363600944
332,333,308.0,8677.254572082828
333,332,308.0,8677.254572082828
333,337,114.99999999999999,1077.1662812911738
333,340,308.0,6313.900015480334
334,58,30.0,12009.73317509022
334,335,114.99999999999999,2942.765434986575
334,337,114.99999999999999,11943.828133056468
335,334,114.99999999999999,2942.765434986575
335,336,64.0,2110.317594223356
335,426,96.0,57750.417746494866
336,335,64.0,2110.317594223356
337,333,114.99999999999999,1077.1662812911738
337,334,114.99999999999999,11943.828133056468
337,380,154.0,6990.202861504118
338,339,308.0,59667.12731623436
339,72,96.0,3861.732321334519
339,338,308.0,59667.12731623436
339,340,114.99999999999999,3725.0262380984805
340,72,96.0,13126.208361947207
340,333,308.0,6313.900015480334
340,339,114.99999999999999,3725.0262380984805
341,12,64.0,15110.294373513012
341,107,35.0,87223.58119654082
341,342,80.0,62324.08186719316
342,107,96.0,90732.463396245
342,341,80.0,62324.08186719316
342,380,308.0,8330.315246413677
343,14,41.0,4256.433372570989
343,73,64.0,344.108242332682
343,224,64.0,422.40974359117257
344,43,64.0,88637.32655229855
344,285,80.0,3878.6128246116314
344,375,96.0,26346.88196148377
345,16,56.99999999999999,125594.17087332917
345,63,35.0,1090.4236198493452
345,96,64.0,2075.338671313825
346,26,64.0,116890.74613552123
346,325,64.0,2692.522413758309
346,347,64.0,5633.733031788393
347,33,64.0,3451.572587471571
347,75,35.0,112334.92541915408
347,346,64.0,5633.733031788393
348,405,366.0,588218.8511497584
348,408,869.9999999999999,6026.67211528744
348,446,1056.0,20578.056614023786
349,60,141.0,476873.3931676935
349,208,141.0,6961.863518688504
